Algorithm,Size,Time
BubbleSortI,10000,0.244904
BubbleSortI,10000,0.245739
BubbleSortI,10000,0.244941
BubbleSortI,100000,28.414567
BubbleSortI,100000,28.747774
BubbleSortI,100000,30.212785
BubbleSortI,100000,28.651197
BubbleSortI,100000,28.564461
BubbleSortI,100000,28.548594
BubbleSortI,100000,28.500044
BubbleSortI,100000,28.858148
BubbleSortI,100000,28.680864
BubbleSortI,100000,28.474613
BubbleSortI,100000,28.678389
BubbleSortI,100000,28.468540
BubbleSortI,100000,28.514404
BubbleSortI,100000,28.524792
BubbleSortI,100000,28.419646
BubbleSortI,100000,28.447880
BubbleSortI,100000,28.416072
BubbleSortI,100000,28.447157
BubbleSortI,100000,28.410502
BubbleSortI,100000,28.534985
BubbleSortI,100000,28.938632
BubbleSortI,100000,28.600089
BubbleSortI,100000,28.548902
BubbleSortI,100000,28.384605
BubbleSortI,100000,28.452051
BubbleSortI,100000,28.455974
BubbleSortI,100000,28.591409
BubbleSortI,100000,28.605895
BubbleSortI,100000,28.506666
BubbleSortI,100000,28.414514
BubbleSortR,1000,0.001833
BubbleSortR,1000,0.001781
BubbleSortR,1000,0.001845
BubbleSortR,1000,0.001801
BubbleSortR,1000,0.001788
BubbleSortR,1000,0.001786
BubbleSortR,1000,0.001796
BubbleSortR,1000,0.001816
BubbleSortR,1000,0.001794
BubbleSortR,1000,0.001803
BubbleSortR,1000,0.001792
BubbleSortR,1000,0.001877
BubbleSortR,1000,0.001822
BubbleSortR,1000,0.001792
BubbleSortR,1000,0.001794
BubbleSortR,1000,0.001807
BubbleSortR,1000,0.001804
BubbleSortR,1000,0.001790
BubbleSortR,1000,0.001797
BubbleSortR,1000,0.001781
BubbleSortR,1000,0.001836
BubbleSortR,1000,0.001797
BubbleSortR,1000,0.001787
BubbleSortR,1000,0.001793
BubbleSortR,1000,0.001779
BubbleSortR,1000,0.001789
BubbleSortR,1000,0.001788
BubbleSortR,1000,0.001787
BubbleSortR,1000,0.001790
BubbleSortR,1000,0.001792
BubbleSortR,10000,0.234081
BubbleSortR,10000,0.232693
BubbleSortR,10000,0.233870
BubbleSortR,10000,0.233159
BubbleSortR,10000,0.232961
BubbleSortR,10000,0.232140
BubbleSortR,10000,0.232470
BubbleSortR,10000,0.233065
BubbleSortR,10000,0.232604
BubbleSortR,10000,0.233058
BubbleSortR,10000,0.232556
BubbleSortR,10000,0.233004
BubbleSortR,10000,0.233092
BubbleSortR,10000,0.231953
